node	category	Primary Publisher	Primary Developer
First Person	feature	.	.
Second Person	feature	.	.
Third Person	feature	.	.
General Third Person	feature	.	.
Top Down	feature	.	.
Side View	feature	.	.
Video Only	feature	.	.
Camera Bound to Avatar(s)	feature	.	.
Camera Bound to Scoring Device	feature	.	.
Camera Scrolls at Fixed Speed	feature	.	.
Fixed Camera Location	feature	.	.
Free Camera	feature	.	.
Some User Control (Not Bound to Avatar)	feature	.	.
Scripted Camera	feature	.	.
Fixed Camera	feature	.	.
Game Environments are Sprites (2D)	feature	.	.
Game Environments are Polygons (3D)	feature	.	.
Video	feature	.	.
Real Time	feature	.	.
Turn Based	feature	.	.
Hybrid	feature	.	.
No Combat	feature	.	.
Genre Modifiers	feature	.	.
Massively Multiplayer	feature	.	.
Open World	feature	.	.
Procedural Gameplay	feature	.	.
User Generated Content Gameplay Focus	feature	.	.
Action	feature	.	.
Action Builder	feature	.	.
Action Combat	feature	.	.
General Action	feature	.	.
Action Quicktime Event	feature	.	.
General Action2	feature	.	.
Stealth Action	feature	.	.
Platformer	feature	.	.
Arcade	feature	.	.
Arcade Action	feature	.	.
Arcade Platformer	feature	.	.
Arcade Shooter	feature	.	.
Beat 'em Up	feature	.	.
Endless Runner	feature	.	.
General Arcade	feature	.	.
Classic Arcade Style	feature	.	.
Fitness Training	feature	.	.
Gallery Shooter	feature	.	.
Mini-Game(s) / Party Game	feature	.	.
Pinball	feature	.	.
Time Management	feature	.	.
Fighting	feature	.	.
Fighting2	feature	.	.
Boxing	feature	.	.
Competition Fighting & Wrestling	feature	.	.
Head to Head	feature	.	.
Music & Rhythm	feature	.	.
Music & Rhythm2	feature	.	.
Dancing	feature	.	.
Musical Instrumental	feature	.	.
Rhythm	feature	.	.
Singing	feature	.	.
Narrative	feature	.	.
General Narrative	feature	.	.
Puzzle	feature	.	.
Brain Puzzle	feature	.	.
General Puzzle	feature	.	.
Mental Training	feature	.	.
Number Games	feature	.	.
Word Games	feature	.	.
Hidden Object	feature	.	.
Matching	feature	.	.
Painting / Drawing Puzzle	feature	.	.
Physics	feature	.	.
Trivia Games	feature	.	.
Racing / Driving	feature	.	.
Arcade Racing	feature	.	.
Skill Racing	feature	.	.
Action Racing	feature	.	.
Simulation Racing	feature	.	.
Vehicular Simulation	feature	.	.
Role Playing Games	feature	.	.
Action RPG	feature	.	.
Classic RPG	feature	.	.
Collectible Battle RPG	feature	.	.
Strategy RPG	feature	.	.
Shooter	feature	.	.
General Shooter	feature	.	.
First Person Shooter	feature	.	.
Tactical Shooter	feature	.	.
Third Person Shooter	feature	.	.
Hunting	feature	.	.
Rail Shooter	feature	.	.
Vehicular Shooter	feature	.	.
Simulation	feature	.	.
City Builder / Resource Management	feature	.	.
Agricultural & Food Service	feature	.	.
Hospitality & Entertainment	feature	.	.
Metropolitan & Settlement	feature	.	.
Transportation & Municipal	feature	.	.
Role Simulation	feature	.	.
Caretaker Simulation	feature	.	.
Occupational Simulation	feature	.	.
Relationship / Dating Simulation	feature	.	.
Social / Survival Simulation	feature	.	.
Skill & Chance	feature	.	.
Casino Chance (Other)	feature	.	.
Integrated Casino	feature	.	.
Poker	feature	.	.
Skill & Chance (Non-Casino)	feature	.	.
Board Games (Non-Military)	feature	.	.
Card Game (Non-Casino)	feature	.	.
Tile Games	feature	.	.
Slots	feature	.	.
Sports	feature	.	.
Sports Simulation	feature	.	.
Major Sports	feature	.	.
Baseball	feature	.	.
Basketball	feature	.	.
Football	feature	.	.
Hockey	feature	.	.
Soccer	feature	.	.
Minor Sports	feature	.	.
Billiards / Pool	feature	.	.
Bowling	feature	.	.
Cricket	feature	.	.
Dodgeball	feature	.	.
Fictional Sports	feature	.	.
Fishing	feature	.	.
Foosball	feature	.	.
Football (Australian)	feature	.	.
Golf / Mini-Golf	feature	.	.
Handball (European)	feature	.	.
Lacrosse	feature	.	.
Rugby	feature	.	.
Table Tennis	feature	.	.
Tennis	feature	.	.
Extreme Sports	feature	.	.
Motocross	feature	.	.
Skateboarding	feature	.	.
Skiing	feature	.	.
Sky-Diving	feature	.	.
Snowboarding	feature	.	.
Surfing	feature	.	.
Sports Compilation	feature	.	.
Other Sport Compilations	feature	.	.
Team Management	feature	.	.
Major Sports2	feature	.	.
Football2	feature	.	.
Soccer2	feature	.	.
Extreme Sports2	feature	.	.
Strategy	feature	.	.
Combat City Builder	feature	.	.
General Strategy	feature	.	.
Real Time Strategy	feature	.	.
Turn Based Strategy	feature	.	.
Multiplayer Online Battle Arena (MOBA)	feature	.	.
Tower Defense	feature	.	.
Trading Card Game	feature	.	.
Bundle with Multiple Genres	feature	.	.
Application	feature	.	.
Non-Gaming Application	feature	.	.
Book (Non-Interactive)	feature	.	.
Decoration Application	feature	.	.
Educational	feature	.	.
Emulator / Game Hub	feature	.	.
Experiential Environment	feature	.	.
Game Support Application	feature	.	.
Media Viewer	feature	.	.
Painting / Drawing	feature	.	.
PDA Tools (Clocks, Calculator, Planner)	feature	.	.
Simulation Application	feature	.	.
Soundboard (Includes Ringtone Apps)	feature	.	.
Other Non-Gaming Application	feature	.	.
Major Genre Elements - 20% or more of gameplay	feature	.	.
Action2	feature	.	.
Action Builder2	feature	.	.
Action Combat2	feature	.	.
General Action3	feature	.	.
Action Quicktime Event2	feature	.	.
General Action4	feature	.	.
Stealth Action2	feature	.	.
Platformer2	feature	.	.
Arcade2	feature	.	.
Arcade Action2	feature	.	.
Arcade Platformer2	feature	.	.
Arcade Shooter2	feature	.	.
Beat 'em Up2	feature	.	.
Endless Runner2	feature	.	.
General Arcade2	feature	.	.
Classic Arcade Style2	feature	.	.
Fitness Training2	feature	.	.
Gallery Shooter2	feature	.	.
Mini-Game(s) / Party Game2	feature	.	.
Time Management2	feature	.	.
Fighting3	feature	.	.
Boxing2	feature	.	.
Head to Head2	feature	.	.
Music & Rhythm3	feature	.	.
Music & Rhythm4	feature	.	.
Dancing2	feature	.	.
Rhythm2	feature	.	.
Narrative2	feature	.	.
General Narrative2	feature	.	.
Brain Puzzle2	feature	.	.
General Puzzle2	feature	.	.
Number Games2	feature	.	.
Hidden Object2	feature	.	.
Painting / Drawing Puzzle2	feature	.	.
Matching2	feature	.	.
Physics2	feature	.	.
Racing / Driving2	feature	.	.
Arcade Racing2	feature	.	.
Skill Racing2	feature	.	.
Action Racing2	feature	.	.
Simulation Racing2	feature	.	.
Vehicular Simulation2	feature	.	.
Role Playing Games2	feature	.	.
Action RPG2	feature	.	.
Classic RPG2	feature	.	.
Collectible Battle RPG2	feature	.	.
Strategy RPG2	feature	.	.
Shooter2	feature	.	.
General Shooter2	feature	.	.
First Person Shooter2	feature	.	.
Tactical Shooter2	feature	.	.
Third Person Shooter2	feature	.	.
Hunting2	feature	.	.
Rail Shooter2	feature	.	.
Vehicular Shooter2	feature	.	.
Simulation2	feature	.	.
City Builder / Resource Management2	feature	.	.
Hospitality & Entertainment2	feature	.	.
Metropolitan & Settlement2	feature	.	.
Role Simulation2	feature	.	.
Occupational Simulation2	feature	.	.
Relationship / Dating Simulation2	feature	.	.
Social / Survival Simulation2	feature	.	.
Skill & Chance2	feature	.	.
Skill & Chance (Non-Casino)2	feature	.	.
Board Games (Non-Military)2	feature	.	.
Card Game (Non-Casino)2	feature	.	.
Tile Games2	feature	.	.
Sports2	feature	.	.
Sports Simulation2	feature	.	.
Major Sports3	feature	.	.
Baseball3	feature	.	.
Football3	feature	.	.
Soccer3	feature	.	.
Minor Sports3	feature	.	.
Equestrian2	feature	.	.
Fictional Sports2	feature	.	.
Fishing2	feature	.	.
Frisbee Sports2	feature	.	.
Golf / Mini-Golf2	feature	.	.
Extreme Sports3	feature	.	.
Bicycle / BMX2	feature	.	.
Jet Skiing2	feature	.	.
Motocross2	feature	.	.
Quad/ATV2	feature	.	.
Skiing2	feature	.	.
Sky-Diving2	feature	.	.
Snowmobile2	feature	.	.
Strategy2	feature	.	.
General Strategy2	feature	.	.
Real Time Strategy2	feature	.	.
Turn Based Strategy2	feature	.	.
Multiplayer Online Battle Arena (MOBA)2	feature	.	.
Tower Defense2	feature	.	.
Trading Card Game2	feature	.	.
Application2	feature	.	.
Non-Gaming Application2	feature	.	.
Educational2	feature	.	.
Music Composition2	feature	.	.
Co-Op Gameplay Capability	feature	.	.
Co-Op Multiplayer Capability	feature	.	.
Co-Op Campaign	feature	.	.
Co-Op Non-Campaign	feature	.	.
Co-Op Survival	feature	.	.
Co-Op Objective / Mission / Level	feature	.	.
MMO	feature	.	.
Co-Op Gameplay Connectivity	feature	.	.
Online Co-Op	feature	.	.
Offline Co-Op	feature	.	.
No Co-Op Capabilities	feature	.	.
Multiplayer Capability	feature	.	.
Online Multiplayer Capability	feature	.	.
Game Has Online Skirmish Mulitiplayer	feature	.	.
Maximum Quantity of Users in an Online Skirmish Game	feature	.	.
Game Has Online Co-Op Multiplayer	feature	.	.
Maximum Quantity of Users in an Online Co-Op Campaign Game	feature	.	.
Maximum Quantity of Users in an Online Co-Op Non-Campaign Game	feature	.	.
Offline Multiplayer Capability	feature	.	.
Game Has Offline Skirmish Multiplayer	feature	.	.
Maximum Quantity of Users in an Offline Skirmish Game	feature	.	.
Game Has Offline Co-Op Multiplayer	feature	.	.
Maximum Quantity of Users in an Offline Co-Op Campaign Game	feature	.	.
Maximum Quantity of Users in an Offline Co-Op Non-Campaign Game	feature	.	.
No Multiplayer Capabilities	feature	.	.
Multiplayer Information	feature	.	.
Multiplayer Team Types	feature	.	.
Team (Symmetrical)	feature	.	.
